task_id,n_scenarios,n_inputs,n_outputs,overlap_rate,overlap_density_tier,guard_complexity,has_external_vars,prompt_spec_len,multi_output,n_guard_atoms,n_and_ops,n_rel_ops,n_others,max_atoms_per_guard,mean_atoms_per_guard,conf_test_only,attempts_test_only,conf_test_expected,attempts_test_expected,conf_semantic_ir,attempts_semantic_ir,ir_n_attempts,ir_conf_attempt_1,ir_conf_attempt_last,ir_n_conf_regressions,ir_mean_feedback_json_len,delta_ir_minus_test_only,e6_winner,delta_ir_minus_test_expected,conf_equal_k_b2,conf_equal_k_m,delta_equal_k_m_minus_b2,equal_k_winner
HardSynthetic.HardCase025,7,5,3,1.042,low,Nested,False,684,1,18,11,18,1,3,2.5714,0.9583333333333334,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase026,7,5,3,1.208,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1204.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase027,7,5,3,1.208,medium,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.0,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase028,7,5,3,1.208,medium,Nested,False,684,1,18,11,18,1,3,2.5714,0.0,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.875,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase029,7,5,3,1.083,low,Nested,False,691,1,19,12,19,1,3,2.7143,1.0,3,1.0,3,1.0,3,3,0.0,1.0,0,2.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase030,7,5,3,1.417,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase032,7,5,3,1.0,low,Nested,False,694,1,19,12,19,1,3,2.7143,0.9583333333333334,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase033,7,5,3,1.125,low,Nested,False,691,1,19,12,19,1,3,2.7143,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase034,7,5,3,1.042,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.9583333333333334,3,0.0,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.0,tie,0.958333,1.0,1.0,0.0,tie
HardSynthetic.HardCase035,7,5,3,1.125,low,Nested,False,694,1,19,12,19,1,3,2.7143,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase036,7,5,3,1.417,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.0,0.875,0,804.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase037,7,5,3,1.0,low,Nested,False,693,1,19,12,19,1,3,2.7143,0.625,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.333333,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase038,7,5,3,1.333,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase039,7,5,3,1.417,high,Nested,False,673,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase040,7,5,3,1.167,low,Nested,False,685,1,18,11,18,1,3,2.5714,0.875,3,0.0,3,0.875,3,3,0.0,0.875,0,804.7,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase041,7,5,3,1.292,medium,Nested,False,676,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase042,7,5,3,1.458,high,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase043,7,5,3,1.292,medium,Nested,False,673,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase044,7,5,3,1.083,low,Nested,False,683,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase045,7,5,3,1.167,low,Nested,False,683,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase046,7,5,3,1.125,low,Nested,False,691,1,19,12,19,1,3,2.7143,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase047,7,5,3,1.083,low,Nested,False,684,1,18,11,18,1,3,2.5714,0.0,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.958333,semantic_ir,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase048,7,5,3,1.083,low,Nested,False,671,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1205.3,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase049,7,5,3,1.0,low,Nested,False,691,1,19,12,19,1,3,2.7143,1.0,2,1.0,2,1.0,3,3,0.0,1.0,0,2.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase050,7,5,3,1.625,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.0,3,0.875,3,3,0.875,0.875,0,1204.7,0.0,tie,0.875,1.0,1.0,0.0,tie
HardSynthetic.HardCase051,7,5,3,1.125,low,Nested,False,684,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1204.7,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase052,7,5,3,1.25,medium,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase053,7,5,3,1.417,high,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase054,7,5,3,1.208,medium,Nested,False,682,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase055,7,5,3,1.125,low,Nested,False,691,1,19,12,19,1,3,2.7143,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase056,7,5,3,1.083,low,Nested,False,686,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase057,7,5,3,1.417,high,Nested,False,677,1,17,10,17,1,3,2.4286,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase058,7,5,3,1.167,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.875,3,0.875,3,0.875,3,3,0.875,0.875,0,1206.0,0.0,tie,0.0,1.0,1.0,0.0,tie
HardSynthetic.HardCase059,7,5,3,1.0,low,Nested,False,681,1,18,11,18,1,3,2.5714,0.9583333333333334,3,0.9583333333333334,3,0.9583333333333334,3,3,0.9583333333333334,0.9583333333333334,0,398.0,0.0,tie,0.0,1.0,1.0,0.0,tie
